"rain_accum","arc_length","Points:0","Points:1","Points:2"
0,0,-75000,200,0
0,150,-74850,200,0
0,300,-74700,200,0
0,450,-74550,200,0
0,600,-74400,200,0
0,750,-74250,200,0
0,900,-74100,200,0
0,1050,-73950,200,0
0,1200,-73800,200,0
0,1350,-73650,200,0
0,1500,-73500,200,0
0,1650,-73350,200,0
0,1800,-73200,200,0
0,1950,-73050,200,0
0,2100,-72900,200,0
0,2250,-72750,200,0
0,2400,-72600,200,0
0,2550,-72450,200,0
0,2700,-72300,200,0
0,2850,-72150,200,0
0,3000,-72000,200,0
0,3150,-71850,200,0
0,3300,-71700,200,0
0,3450,-71550,200,0
0,3600,-71400,200,0
0,3750,-71250,200,0
0,3900,-71100,200,0
0,4050,-70950,200,0
0,4200,-70800,200,0
0,4350,-70650,200,0
0,4500,-70500,200,0
0,4650,-70350,200,0
0,4800,-70200,200,0
0,4950,-70050,200,0
0,5100,-69900,200,0
0,5250,-69750,200,0
0,5400,-69600,200,0
0,5550,-69450,200,0
0,5700,-69300,200,0
0,5850,-69150,200,0
0,6000,-69000,200,0
0,6150,-68850,200,0
0,6300,-68700,200,0
0,6450,-68550,200,0
0,6600,-68400,200,0
0,6750,-68250,200,0
0,6900,-68100,200,0
0,7050,-67950,200,0
0,7200,-67800,200,0
0,7350,-67650,200,0
0,7500,-67500,200,0
0,7650,-67350,200,0
0,7800,-67200,200,0
0,7950,-67050,200,0
0,8100,-66900,200,0
0,8250,-66750,200,0
0,8400,-66600,200,0
0,8550,-66450,200,0
0,8700,-66300,200,0
0,8850,-66150,200,0
0,9000,-66000,200,0
0,9150,-65850,200,0
0,9300,-65700,200,0
0,9450,-65550,200,0
0,9600,-65400,200,0
0,9750,-65250,200,0
0,9900,-65100,200,0
0,10050,-64950,200,0
0,10200,-64800,200,0
0,10350,-64650,200,0
0,10500,-64500,200,0
0,10650,-64350,200,0
0,10800,-64200,200,0
0,10950,-64050,200,0
0,11100,-63900,200,0
0,11250,-63750,200,0
0,11400,-63600,200,0
0,11550,-63450,200,0
0,11700,-63300,200,0
0,11850,-63150,200,0
0,12000,-63000,200,0
0,12150,-62850,200,0
0,12300,-62700,200,0
0,12450,-62550,200,0
0,12600,-62400,200,0
0,12750,-62250,200,0
0,12900,-62100,200,0
0,13050,-61950,200,0
0,13200,-61800,200,0
0,13350,-61650,200,0
0,13500,-61500,200,0
0,13650,-61350,200,0
0,13800,-61200,200,0
0,13950,-61050,200,0
0,14100,-60900,200,0
0,14250,-60750,200,0
0,14400,-60600,200,0
0,14550,-60450,200,0
0,14700,-60300,200,0
0,14850,-60150,200,0
0,15000,-60000,200,0
0,15150,-59850,200,0
0,15300,-59700,200,0
0,15450,-59550,200,0
0,15600,-59400,200,0
0,15750,-59250,200,0
0,15900,-59100,200,0
0,16050,-58950,200,0
0,16200,-58800,200,0
0,16350,-58650,200,0
0,16500,-58500,200,0
0,16650,-58350,200,0
0,16800,-58200,200,0
0,16950,-58050,200,0
0,17100,-57900,200,0
0,17250,-57750,200,0
0,17400,-57600,200,0
0,17550,-57450,200,0
0,17700,-57300,200,0
0,17850,-57150,200,0
0,18000,-57000,200,0
0,18150,-56850,200,0
0,18300,-56700,200,0
0,18450,-56550,200,0
0,18600,-56400,200,0
0,18750,-56250,200,0
0,18900,-56100,200,0
0,19050,-55950,200,0
0,19200,-55800,200,0
0,19350,-55650,200,0
0,19500,-55500,200,0
0,19650,-55350,200,0
0,19800,-55200,200,0
0,19950,-55050,200,0
0,20100,-54900,200,0
0,20250,-54750,200,0
0,20400,-54600,200,0
0,20550,-54450,200,0
0,20700,-54300,200,0
0,20850,-54150,200,0
0,21000,-54000,200,0
0,21150,-53850,200,0
0,21300,-53700,200,0
0,21450,-53550,200,0
0,21600,-53400,200,0
0,21750,-53250,200,0
0,21900,-53100,200,0
0,22050,-52950,200,0
0,22200,-52800,200,0
0,22350,-52650,200,0
0,22500,-52500,200,0
0,22650,-52350,200,0
0,22800,-52200,200,0
0,22950,-52050,200,0
0,23100,-51900,200,0
0,23250,-51750,200,0
0,23400,-51600,200,0
0,23550,-51450,200,0
0,23700,-51300,200,0
0,23850,-51150,200,0
0,24000,-51000,200,0
0,24150,-50850,200,0
0,24300,-50700,200,0
0,24450,-50550,200,0
0,24600,-50400,200,0
0,24750,-50250,200,0
0,24900,-50100,200,0
0,25050,-49950,200,0
0,25200,-49800,200,0
0,25350,-49650,200,0
0,25500,-49500,200,0
0,25650,-49350,200,0
0,25800,-49200,200,0
0,25950,-49050,200,0
0,26100,-48900,200,0
0,26250,-48750,200,0
0,26400,-48600,200,0
0,26550,-48450,200,0
0,26700,-48300,200,0
0,26850,-48150,200,0
0,27000,-48000,200,0
0,27150,-47850,200,0
0,27300,-47700,200,0
0,27450,-47550,200,0
0,27600,-47400,200,0
0,27750,-47250,200,0
0,27900,-47100,200,0
0,28050,-46950,200,0
0,28200,-46800,200,0
0,28350,-46650,200,0
0,28500,-46500,200,0
0,28650,-46350,200,0
0,28800,-46200,200,0
0,28950,-46050,200,0
0,29100,-45900,200,0
0,29250,-45750,200,0
0,29400,-45600,200,0
0,29550,-45450,200,0
0,29700,-45300,200,0
0,29850,-45150,200,0
0,30000,-45000,200,0
0,30150,-44850,200,0
0,30300,-44700,200,0
0,30450,-44550,200,0
0,30600,-44400,200,0
0,30750,-44250,200,0
0,30900,-44100,200,0
0,31050,-43950,200,0
0,31200,-43800,200,0
0,31350,-43650,200,0
0,31500,-43500,200,0
0,31650,-43350,200,0
0,31800,-43200,200,0
0,31950,-43050,200,0
0,32100,-42900,200,0
0,32250,-42750,200,0
0,32400,-42600,200,0
0,32550,-42450,200,0
0,32700,-42300,200,0
0,32850,-42150,200,0
0,33000,-42000,200,0
0,33150,-41850,200,0
0,33300,-41700,200,0
0,33450,-41550,200,0
0,33600,-41400,200,0
0,33750,-41250,200,0
0,33900,-41100,200,0
0,34050,-40950,200,0
0,34200,-40800,200,0
0,34350,-40650,200,0
0,34500,-40500,200,0
0,34650,-40350,200,0
0,34800,-40200,200,0
0,34950,-40050,200,0
0,35100,-39900,200,0
0,35250,-39750,200,0
0,35400,-39600,200,0
0,35550,-39450,200,0
0,35700,-39300,200,0
0,35850,-39150,200,0
0,36000,-39000,200,0
0,36150,-38850,200,0
0,36300,-38700,200,0
0,36450,-38550,200,0
0,36600,-38400,200,0
0,36750,-38250,200,0
0,36900,-38100,200,0
0,37050,-37950,200,0
0,37200,-37800,200,0
0,37350,-37650,200,0
0,37500,-37500,200,0
0,37650,-37350,200,0
0,37800,-37200,200,0
0,37950,-37050,200,0
